mode,scale,fromToken,fromHex,toToken,toHex,source,nearestDeltaE
dark,purple,purple.6,#6e40c9,purple.10,#43179e,nearest-color,15.39
dark,purple,purple.7,#553098,purple.10,#43179e,nearest-color,17.73
dark,purple,purple.8,#3c1e70,purple.11,#26115f,nearest-color,7.08
dark,purple,purple.9,#271052,purple.12,#1d094e,nearest-color,3.8
dark,red,red.0,#ffdcd7,red.0,#ffd9d6,token-remap,1.68
dark,red,red.1,#ffc1ba,red.1,#ffcdca,nearest-color,6.5
dark,red,red.2,#ffa198,red.2,#feb2ae,token-remap,9.99
dark,red,red.3,#ff7b72,red.3,#fd8986,token-remap,9.87
dark,red,red.4,#f85149,red.4,#fc5c5d,token-remap,8.58
dark,red,red.5,#da3633,red.6,#d31231,nearest-color,8.46
dark,red,red.6,#b62324,red.7,#c1062b,token-remap,8.19
dark,red,red.7,#8e1519,red.9,#970422,nearest-color,7.11
dark,red,red.8,#67060c,red.10,#760016,token-remap,6.84
dark,red,red.9,#490202,red.11,#5e0217,nearest-color,9.32
dark,yellow,yellow.0,#f8e3a1,yellow.0,#f7e2a0,nearest-color,0.35
dark,yellow,yellow.1,#f2cc60,yellow.2,#f7d162,token-remap,2.13
dark,yellow,yellow.2,#e3b341,yellow.3,#fabf21,token-remap,11.52
dark,yellow,yellow.3,#d29922,yellow.4,#db9d00,token-remap,8.58
dark,yellow,yellow.4,#bb8009,yellow.5,#bc7b00,token-remap,3.4
dark,yellow,yellow.5,#9e6a03,yellow.6,#a06100,nearest-color,6.33
dark,yellow,yellow.6,#845306,yellow.7,#8e5100,nearest-color,6.49
dark,yellow,yellow.7,#693e00,yellow.9,#723a00,nearest-color,6.74
dark,yellow,yellow.8,#4b2900,yellow.11,#471f00,nearest-color,6.77
dark,yellow,yellow.9,#341a00,yellow.12,#2a1000,nearest-color,8.32
dark,display.auburn,display.auburn.0,#271817,display.auburn.2,#271817,token-remap,0
dark,display.auburn,display.auburn.1,#3a2422,display.auburn.3,#3a2422,nearest-color,0
dark,display.auburn,display.auburn.2,#543331,display.auburn.4,#543331,nearest-color,0
dark,display.auburn,display.auburn.3,#6d4340,display.auburn.5,#6d4340,nearest-color,0
dark,display.auburn,display.auburn.4,#87534f,display.auburn.7,#87534f,nearest-color,0
dark,display.auburn,display.auburn.5,#a86f6b,display.auburn.9,#a86f6b,token-remap,0
dark,display.auburn,display.auburn.6,#bf9592,display.auburn.10,#bf9592,nearest-color,0
dark,display.auburn,display.auburn.7,#c6a19f,display.auburn.11,#c6a19f,nearest-color,0
dark,display.auburn,display.auburn.8,#d4b7b5,display.auburn.12,#d4b7b5,nearest-color,0
dark,display.auburn,display.auburn.9,#dfcac8,display.auburn.13,#dfcac8,nearest-color,0
dark,display.blue,display.blue.0,#001a47,display.blue.2,#00134e,token-remap,7.56
dark,display.blue,display.blue.1,#002766,display.blue.3,#052063,nearest-color,5.11
dark,display.blue,display.blue.2,#00378a,display.blue.3,#052063,nearest-color,13.14
dark,display.blue,display.blue.3,#0046a8,display.blue.4,#082a8f,nearest-color,13.47
dark,display.blue,display.blue.4,#005bd1,display.blue.8,#0064e3,nearest-color,5.7
dark,display.blue,display.blue.5,#0576ff,display.blue.9,#0377ff,token-remap,0.83
dark,display.blue,display.blue.6,#4da0ff,display.blue.10,#3094ff,nearest-color,8.64
dark,display.blue,display.blue.7,#61adff,display.blue.11,#78bafe,nearest-color,9.4
dark,display.blue,display.blue.8,#85c2ff,display.blue.11,#78bafe,nearest-color,4.98
dark,display.blue,display.blue.9,#a3d3ff,display.blue.12,#97cfff,nearest-color,3.35
dark,display.brown,display.brown.0,#241c14,display.brown.2,#241c14,token-remap,0
dark,display.brown,display.brown.1,#342a1d,display.brown.3,#342a1d,nearest-color,0
dark,display.brown,display.brown.2,#483a28,display.brown.4,#483a28,nearest-color,0
dark,display.brown,display.brown.3,#5d4a32,display.brown.5,#5d4a32,nearest-color,0
dark,display.brown,display.brown.4,#755e3e,display.brown.7,#755e3e,nearest-color,0
dark,display.brown,display.brown.5,#94774c,display.brown.9,#94774c,token-remap,0
dark,display.brown,display.brown.6,#b69a6d,display.brown.10,#b69a6d,nearest-color,0
dark,display.brown,display.brown.7,#bfa77d,display.brown.11,#bfa77d,nearest-color,0
dark,display.brown,display.brown.8,#cdbb98,display.brown.12,#cdbb98,nearest-color,0
dark,display.brown,display.brown.9,#dbceb3,display.brown.13,#dbceb3,nearest-color,0
dark,display.coral,display.coral.0,#351008,display.coral.2,#3c0000,token-remap,8.19
dark,display.coral,display.coral.1,#51180b,display.coral.3,#500a00,nearest-color,5.88
dark,display.coral,display.coral.2,#72220d,display.coral.4,#701301,nearest-color,6
dark,display.coral,display.coral.3,#902a0e,display.coral.5,#8e1e0b,nearest-color,4.31
dark,display.coral,display.coral.4,#b3350f,display.coral.7,#b82704,nearest-color,7.29
dark,display.coral,display.coral.5,#e1430e,display.coral.9,#ef4319,token-remap,5.27
dark,display.coral,display.coral.6,#f7794b,display.coral.10,#f66945,nearest-color,7.64
dark,display.coral,display.coral.7,#fa8c61,display.coral.11,#fa9072,nearest-color,7.83
dark,display.coral,display.coral.8,#fdaa86,display.coral.12,#fdb7a1,nearest-color,11.07
dark,display.coral,display.coral.9,#ffc0a3,display.coral.12,#fdb7a1,nearest-color,4.91
dark,display.cyan,display.cyan.0,#001f29,display.cyan.2,#001f29,nearest-color,0
dark,display.cyan,display.cyan.1,#002e3d,display.cyan.3,#002e3d,nearest-color,0
dark,display.cyan,display.cyan.2,#014156,display.cyan.4,#014156,nearest-color,0
dark,display.cyan,display.cyan.3,#02536f,display.cyan.5,#02536f,nearest-color,0
dark,display.cyan,display.cyan.4,#036a8c,display.cyan.7,#036a8c,nearest-color,0
dark,display.cyan,display.cyan.5,#0587b3,display.cyan.9,#0587b3,nearest-color,0
dark,display.cyan,display.cyan.6,#07ace4,display.cyan.10,#07ace4,nearest-color,0
dark,display.cyan,display.cyan.7,#09b7f1,display.cyan.11,#09b7f1,nearest-color,0
dark,display.cyan,display.cyan.8,#45cbf7,display.cyan.12,#45cbf7,nearest-color,0
dark,display.cyan,display.cyan.9,#80dbf9,display.cyan.13,#80dbf9,nearest-color,0
dark,display.gray,display.gray.0,#1c1c1c,display.gray.1,#0f1511,token-remap,4.29
dark,display.gray,display.gray.1,#2a2b2d,display.gray.3,#252b27,nearest-color,4.91
dark,display.gray,display.gray.2,#393d41,display.gray.4,#353c37,nearest-color,6.24
dark,display.gray,display.gray.3,#474e57,display.gray.6,#434c45,nearest-color,10.38
dark,display.gray,display.gray.4,#576270,display.gray.8,#58635b,token-remap,13.44
dark,display.gray,display.gray.5,#6e7f96,display.gray.9,#6c786f,nearest-color,19
dark,display.gray,display.gray.6,#92a1b5,display.gray.10,#9ca89f,nearest-color,16.23
dark,display.gray,display.gray.7,#9babbf,display.gray.10,#9ca89f,nearest-color,16.08
dark,display.gray,display.gray.8,#b3c0d1,display.gray.11,#b8c4bc,nearest-color,13.47
dark,display.gray,display.gray.9,#c4cfde,display.gray.12,#cbd6cd,nearest-color,12.84
dark,display.green,display.green.0,#122117,display.green.2,#031d13,token-remap,4.03
dark,display.green,display.green.1,#182f1f,display.green.4,#0d3024,nearest-color,4.41
dark,display.green,display.green.2,#214529,display.green.5,#0e422c,nearest-color,5.52
dark,display.green,display.green.3,#285830,display.green.6,#0f5430,nearest-color,5.52
dark,display.green,display.green.4,#2f6f37,display.green.8,#00702d,token-remap,6.06
dark,display.green,display.green.5,#388f3f,display.green.9,#08872b,nearest-color,9.5
dark,display.green,display.green.6,#41b445,display.green.10,#0fbf3e,nearest-color,12.69
dark,display.green,display.green.7,#46c144,display.green.10,#0fbf3e,nearest-color,7.5
dark,display.green,display.green.8,#75d36f,display.green.12,#5fed83,nearest-color,14.77
dark,display.green,display.green.9,#99e090,display.green.13,#8cf2a6,nearest-color,10.72
dark,display.indigo,display.indigo.0,#1b183f,display.indigo.1,#080a30,nearest-color,7.04
dark,display.indigo,display.indigo.1,#25215f,display.indigo.3,#161962,nearest-color,8.53
dark,display.indigo,display.indigo.2,#312c90,display.indigo.4,#212183,nearest-color,4.93
dark,display.indigo,display.indigo.3,#3935c0,display.indigo.5,#2432b7,nearest-color,4.25
dark,display.indigo,display.indigo.4,#514ed4,display.indigo.7,#3a4edc,nearest-color,5.84
dark,display.indigo,display.indigo.5,#7070e1,display.indigo.9,#6a7df0,nearest-color,6.24
dark,display.indigo,display.indigo.6,#9899ec,display.indigo.11,#8d9ff8,nearest-color,5.62
dark,display.indigo,display.indigo.7,#a2a5f1,display.indigo.11,#8d9ff8,nearest-color,8.55
dark,display.indigo,display.indigo.8,#b7baf6,display.indigo.12,#b3c1fd,nearest-color,3.9
dark,display.indigo,display.indigo.9,#c8cbf9,display.indigo.13,#cdd7ff,nearest-color,5.54
dark,display.lemon,display.lemon.0,#291d00,display.lemon.2,#241900,token-remap,3.63
dark,display.lemon,display.lemon.1,#372901,display.lemon.3,#322500,nearest-color,2.94
dark,display.lemon,display.lemon.2,#4f3c02,display.lemon.5,#5c4703,nearest-color,6.43
dark,display.lemon,display.lemon.3,#614c05,display.lemon.6,#654d02,nearest-color,2.37
dark,display.lemon,display.lemon.4,#786008,display.lemon.7,#775d00,nearest-color,2
dark,display.lemon,display.lemon.5,#977b0c,display.lemon.7,#775d00,token-remap,6.91
dark,display.lemon,display.lemon.6,#ba9b12,display.lemon.10,#c7a60b,nearest-color,6.38
dark,display.lemon,display.lemon.7,#c4a717,display.lemon.10,#c7a60b,nearest-color,2.72
dark,display.lemon,display.lemon.8,#d7bc1d,display.lemon.11,#e4c411,nearest-color,6.22
dark,display.lemon,display.lemon.9,#e3d04f,display.lemon.12,#f4da38,token-remap,8.36
dark,display.lime,display.lime.0,#141f0f,display.lime.2,#091d05,token-remap,4.89
dark,display.lime,display.lime.1,#1f3116,display.lime.4,#142a08,nearest-color,5.32
dark,display.lime,display.lime.2,#2c441d,display.lime.5,#22360b,nearest-color,6.68
dark,display.lime,display.lime.3,#375421,display.lime.6,#355113,nearest-color,5.68
dark,display.lime,display.lime.4,#496c28,display.lime.7,#3e5f0f,nearest-color,7.32
dark,display.lime,display.lime.5,#5f892f,display.lime.8,#456a00,token-remap,11.14
dark,display.lime,display.lime.6,#7dae37,display.lime.9,#608a10,nearest-color,13.42
dark,display.lime,display.lime.7,#89ba36,display.lime.10,#88b80f,nearest-color,9.71
dark,display.lime,display.lime.8,#9fcc3e,display.lime.10,#88b80f,nearest-color,9.43
dark,display.lime,display.lime.9,#bcda67,display.lime.13,#d0f17a,nearest-color,8.02
dark,display.olive,display.olive.0,#171e0b,display.olive.2,#171e0b,token-remap,0
dark,display.olive,display.olive.1,#252d10,display.olive.3,#252d10,nearest-color,0
dark,display.olive,display.olive.2,#374115,display.olive.4,#374115,nearest-color,0
dark,display.olive,display.olive.3,#485219,display.olive.5,#485219,nearest-color,0
dark,display.olive,display.olive.4,#5e681d,display.olive.7,#5e681d,nearest-color,0
dark,display.olive,display.olive.5,#7a8321,display.olive.9,#7a8321,token-remap,0
dark,display.olive,display.olive.6,#a2a626,display.olive.10,#a2a626,nearest-color,0
dark,display.olive,display.olive.7,#b2af24,display.olive.11,#b2af24,nearest-color,0
dark,display.olive,display.olive.8,#cbc025,display.olive.12,#cbc025,nearest-color,0
dark,display.olive,display.olive.9,#e2d04b,display.olive.13,#e2d04b,nearest-color,0
dark,display.orange,display.orange.0,#311708,display.orange.2,#2e1201,token-remap,2.38
dark,display.orange,display.orange.1,#43200a,display.orange.3,#3d1800,nearest-color,3.6
dark,display.orange,display.orange.2,#632f0d,display.orange.4,#572400,nearest-color,4.77
dark,display.orange,display.orange.3,#7b3c0e,display.orange.5,#713200,nearest-color,4.42
dark,display.orange,display.orange.4,#984b10,display.orange.7,#a04400,token-remap,4.74
dark,display.orange,display.orange.5,#c46212,display.orange.9,#d56101,token-remap,6.48
dark,display.orange,display.orange.6,#ed8326,display.orange.11,#f08a3a,nearest-color,6.47
dark,display.orange,display.orange.7,#f1933b,display.orange.11,#f08a3a,nearest-color,5.03
dark,display.orange,display.orange.8,#f6b06a,display.orange.12,#fab580,nearest-color,9.02
dark,display.orange,display.orange.9,#fac68f,display.orange.12,#fab580,token-remap,8.87
dark,display.pine,display.pine.0,#082119,display.pine.2,#082119,token-remap,0
dark,display.pine,display.pine.1,#0b3224,display.pine.3,#0b3224,nearest-color,0
dark,display.pine,display.pine.2,#0e4430,display.pine.4,#0e4430,nearest-color,0
dark,display.pine,display.pine.3,#115a3e,display.pine.5,#115a3e,nearest-color,0
dark,display.pine,display.pine.4,#14714c,display.pine.7,#14714c,nearest-color,0
dark,display.pine,display.pine.5,#18915e,display.pine.7,#14714c,token-remap,0
dark,display.pine,display.pine.6,#1bb673,display.pine.10,#1bb673,nearest-color,0
dark,display.pine,display.pine.7,#1ac176,display.pine.11,#1ac176,nearest-color,0
dark,display.pine,display.pine.8,#1bda81,display.pine.12,#1bda81,nearest-color,0
dark,display.pine,display.pine.9,#3eea97,display.pine.13,#3eea97,nearest-color,0
dark,display.pink,display.pink.0,#2d1524,display.pink.1,#220415,token-remap,6.64
dark,display.pink,display.pink.1,#451c35,display.pink.2,#30081f,nearest-color,9.33
dark,display.pink,display.pink.2,#65244a,display.pink.3,#520e39,nearest-color,7.96
dark,display.pink,display.pink.3,#842a5d,display.pink.5,#871b5c,nearest-color,6.62
dark,display.pink,display.pink.4,#ac2f74,display.pink.6,#961c66,nearest-color,7.16
dark,display.pink,display.pink.5,#d34591,display.pink.9,#e22d9f,token-remap,9.77
dark,display.pink,display.pink.6,#e57bb2,display.pink.11,#f67ed2,nearest-color,15.16
dark,display.pink,display.pink.7,#ec8dbd,display.pink.12,#fcabe7,nearest-color,13.33
dark,display.pink,display.pink.8,#f4a9cd,display.pink.12,#fcabe7,nearest-color,12.53
dark,display.pink,display.pink.9,#f9bed9,display.pink.13,#fbcaef,nearest-color,7.58
dark,display.plum,display.plum.0,#2a0e3f,display.plum.2,#2a0e3f,token-remap,0
dark,display.plum,display.plum.1,#40125e,display.plum.3,#40125e,nearest-color,0
dark,display.plum,display.plum.2,#5c1688,display.plum.4,#5c1688,nearest-color,0
dark,display.plum,display.plum.3,#7517ab,display.plum.5,#7517ab,nearest-color,0
dark,display.plum,display.plum.4,#9518d8,display.plum.7,#9518d8,nearest-color,0
dark,display.plum,display.plum.5,#b643ef,display.plum.9,#b643ef,token-remap,0
dark,display.plum,display.plum.6,#d07ef7,display.plum.10,#d07ef7,nearest-color,0
dark,display.plum,display.plum.7,#d889fa,display.plum.11,#d889fa,nearest-color,0
dark,display.plum,display.plum.8,#e4a5fd,display.plum.12,#e4a5fd,nearest-color,0
dark,display.plum,display.plum.9,#edbdff,display.plum.13,#edbdff,nearest-color,0
dark,display.purple,display.purple.0,#211047,display.purple.2,#1d094e,token-remap,8.81
dark,display.purple,display.purple.1,#31146b,display.purple.3,#26115f,nearest-color,5.64
dark,display.purple,display.purple.2,#481a9e,display.purple.4,#43179e,nearest-color,1.96
dark,display.purple,display.purple.3,#5b1cca,display.purple.5,#561ac4,nearest-color,2.28
dark,display.purple,display.purple.4,#7730e8,display.purple.7,#732eeb,nearest-color,2.65
dark,display.purple,display.purple.5,#975bf1,display.purple.9,#a665f9,token-remap,4.58
dark,display.purple,display.purple.6,#b687f7,display.purple.10,#c08bfc,nearest-color,2.75
dark,display.purple,display.purple.7,#c398fb,display.purple.10,#c08bfc,nearest-color,9.09
dark,display.purple,display.purple.8,#d2affd,display.purple.11,#d3b3fe,nearest-color,2.27
dark,display.purple,display.purple.9,#e1c7ff,display.purple.12,#d8befc,nearest-color,4.53
dark,display.red,display.red.0,#3c0614,display.red.2,#33000d,token-remap,3.79
dark,display.red,display.red.1,#58091a,display.red.3,#5e0217,nearest-color,4.93
dark,display.red,display.red.2,#790c20,display.red.4,#760016,nearest-color,4.96
dark,display.red,display.red.3,#990f24,display.red.5,#970422,nearest-color,1.49
dark,display.red,display.red.4,#c31328,display.red.7,#c1062b,nearest-color,3.21
dark,display.red,display.red.5,#eb3342,display.red.9,#fa383d,token-remap,7.37
dark,display.red,display.red.6,#f27d83,display.red.11,#fd8986,nearest-color,5.84
dark,display.red,display.red.7,#f48b8d,display.red.11,#fd8986,nearest-color,6.14
dark,display.red,display.red.8,#f7adab,display.red.12,#feb2ae,nearest-color,2.34
dark,display.red,display.red.9,#f9c1be,display.red.13,#ffcdca,nearest-color,4.52
dark,display.teal,display.teal.0,#041f25,display.teal.2,#001e1f,token-remap,4.28
dark,display.teal,display.teal.1,#073036,display.teal.3,#052d2e,nearest-color,3.94
dark,display.teal,display.teal.2,#0a464d,display.teal.5,#054c4f,nearest-color,4.3
dark,display.teal,display.teal.3,#0c555a,display.teal.5,#054c4f,nearest-color,3.98
dark,display.teal,display.teal.4,#106c70,display.teal.6,#0e6a6b,token-remap,2.1
dark,display.teal,display.teal.5,#158a8a,display.teal.8,#079695,nearest-color,5.14
dark,display.teal,display.teal.6,#1cb0ab,display.teal.9,#0bbab6,nearest-color,4.12
dark,display.teal,display.teal.7,#1fbdb2,display.teal.9,#0bbab6,nearest-color,4.04
dark,display.teal,display.teal.8,#24d6c4,display.teal.10,#10dcd4,nearest-color,5.93
dark,display.teal,display.teal.9,#5fe3d1,display.teal.12,#61eee3,nearest-color,5.47
dark,display.yellow,display.yellow.0,#2e1a00,display.yellow.2,#2a1000,token-remap,7.95
dark,display.yellow,display.yellow.1,#3d2401,display.yellow.3,#471f00,nearest-color,8.43
dark,display.yellow,display.yellow.2,#5a3702,display.yellow.4,#5b2b00,nearest-color,8.62
dark,display.yellow,display.yellow.3,#6d4403,display.yellow.5,#723a00,nearest-color,8.49
dark,display.yellow,display.yellow.4,#895906,display.yellow.7,#8e5100,token-remap,7.06
dark,display.yellow,display.yellow.5,#aa7109,display.yellow.8,#a06100,nearest-color,7.21
dark,display.yellow,display.yellow.6,#d3910d,display.yellow.10,#db9d00,nearest-color,6.9
dark,display.yellow,display.yellow.7,#df9e11,display.yellow.10,#db9d00,nearest-color,2.23
dark,display.yellow,display.yellow.8,#edb431,display.yellow.10,#db9d00,nearest-color,9.16
dark,display.yellow,display.yellow.9,#f0ca6a,display.yellow.13,#f6d67f,nearest-color,6.92
